type,description,students,name
会员,在本课程中，你将可以学习到 Spark 的机器学习库—— MLlib 的相关知识，了解 MLlib 与 ML 之间的区别和联系，掌握 MLlib 中的几个基本数据类型。同时，本课程还将通过一个电影推荐的实例，讲解如何利用机器学习算法解决实际问题。本课程难度为一般，属于初级级别课程，适合具有 Spark 基础的用户，熟悉 Spark 平台中的机器学习库的基本使用方法。,291,Spark 基础之使用机器学习库 MLlib
free,本课程的学习目的是让学生熟悉公钥加密与 PKI 的概念，内容包含公钥加密，数字签名，公钥认证，认证授权，基于 PKI 授权等内容。学生将以使用工具或者写程序的方式建立基于 PKI 的安全信道。,1206,公钥加密与PKI实验
会员,轮播图是在各大网站中经常见到的图片展示形式，本课程基于 HTML+CSS+JavaScript+jQuery 实现图片轮播，这是一个很容易上手的前端入门练习项目。,390,基于 jQuery 实现图片轮播
free,本次课程主要内容就是介绍如何通过在 Amazon AWS EC2 服务器上部署  Ghost v0.9.0 来创建个人博客。,185,基于 Amazon AWS EC2 部署 Ghost 博客
会员,实现Android手机上的简单简单计算器功能。利用第三方表达式求值的库，实现手机上都有的计算机的功能。,489,Android手机上的计算器实现
free,本课程通过一个简单的例子来实现破解验证码。从中我们可以学习到 Python 基本知识，PIL 模块的使用和破解验证码的原理。本项目难度中等。适合有 Python 基础的人群进行学习。,10505,Python 破解验证码
free,在 Django 入门教程的基础上，继续对 Django Web 框架进行学习。其中包括强大的后台、邮件功能、缓存系统、页面静态技术等等。,2011,Django 进阶教程
free,"跨站点脚本(XSS)是一种常见较弱的web应用程序漏洞,攻击者使用这个漏洞注入恶意代码(例如JavaScript)来攻击受害者的web浏览器。",1275,Collabtive系统跨站脚本攻击实验
free,针对《釜山行》剧本的文本，使用python编写代码分析文本中人物的共现关系，完成对《釜山行》文本的人物关系提取，并利用Gephi软件对提取的人物关系绘制人物关系图。,7390,Python基于共现提取《釜山行》人物关系
会员,Python基于OpenCV和PyAudio实现的局域网内视频聊天工具，支持IPv6。优点是校园网/IPv6下不走流量。,1644,Python实现简易局域网视频聊天工具
会员,本次课程我们将利用 github page 的特性来部署由 Hexo 框架渲染生成的静态博客。并且为博客添加插件以实现评论、七牛实现图床等功能。,896,使用 Github Pages 和 Hexo 搭建独立博客
free,本课程主要介绍了16个设计模式的相关知识，使用UML类图形象表示各个类之间的关系，并使用PHP实现示例代码。课程内容文字较多，且知识点较为抽象，学习起来有一定的难度。适合作为进阶课程学习。,2763,16个PHP设计模式详解
会员,本课程主要内容是讲解利用PHP的一个扩展库：CURL来进行信息的采集，完成一个类似网络爬虫的小项目，对采集的信息并进一步处理。课程中对实验楼的课程页面进行爬取，并取出其中的课程标题和课程图片，存入数据库。主要的知识点是CURL的使用方法，以及正则表达式的编写。,302,PHP实例--CURL实现简单采集
会员,Spark进入2.0时代，引入了很多优秀特性，性能上有较大提升，API更易用。在“编程统一”方面非常惊艳，实现了离线计算和流计算API的统一，实现了Spark sql和Hive Sql操作API的统一。真正做到了“更简单、更快速、更智能”！,339,Spark2.x 快速入门教程
会员,模式挖掘也叫关联规则，其实就是从大量的数据中挖掘出比较有用的数据，挖掘频繁项。比如说超市有大量的购物数据，从而可以根据用户的购物数据找到哪些商品之间关联性比较大。进行关联推销产品。也可以进行用户推荐。,142,Spark的模式挖掘—FPGrowth算法
会员,虚拟专用网络的功能是：在公用网络上建立专用网络，进行加密通讯。在企业网络中有广泛应用。VPN网关通过对数据包的加密和数据包目标地址的转换实现远程访问。VPN有多种分类方式，主要是按协议进行分类。VPN可通过服务器、硬件、软件等多种方式实现。,44,VPN数据包分析
会员,Pandas 是非常著名的开源数据处理工具，我们可以通过它完成对数据集进行快速读取、转换、过滤、分析等一系列操作。除此之外，Pandas 拥有强大的缺失数据处理与数据透视功能，可谓是数据预处理中的必备利器。,526,Pandas 使用教程
会员,本课程将使用 PHP 实现一个简单的 MVC 框架，包含模型、视图、控制器以及模板解析等部分。通过本课程的学习，可以了解MVC框架的基本原理和运行流程，学习面向对象编程和MVC设计模式，并学习开发中的一些注意事项。对其他框架学习有很大的帮助作用。,1806,PHP 实现简单的 MVC 框架
会员,Markdown 几乎成为了程序员编写文档的标配，Markdown 的相关语法简单，解析 Markdown 文本能够加深日后编写编译器中词法分析的理解，本项目将使用 C++ 实现 Markdown 解析器，并将解析的内容生成为 HTML。,698,C++ 打造 Markdown 解析器
free,现在我们每天的生活中几乎都离不开这样的场景：在注册的时候使用到手机短信验证进行绑定；在特约取款的时候要通过短信的方式获取验证码等等。接下来这门课就是要向你展示如何去利用 LeanCloud 提供的API来实现一个简单短信验证网页。,1421,基于 LeanCloud 的短信验证
会员,Fragment是Activity的一种子模块，它必须嵌入到Activity中使用。Fragment的引入最初是为了适应大屏幕设备，因为大屏幕设备（比如平板）可以容乃更多的UI组件，并且这些组件之间存在交互的关系。Fragment允许开发者对UI组件进行模块化的管理，具有更多动态特性，对于提升应用的性能和体验非常有帮助。,1020,Android小案例 - Fragment（片段）
训练营,"在线完成4个经典C++项目，高强度项目训练学习C++语言开发。知识涵盖C++基础，面向对象，网络开发等知识。课程随到随学，遇到技术问题在讨论区发帖提问，有工程师回复解答。
",248,C++ 经典项目实战
free,"本课程以ROS官网的安装、入门以及初级教程为模版制作（原滋原味，一脉相承），包括安装ROS、学习并理解相关概念以及技术要点等；结合初级教程，提供每一步详细操作命令，边学边练。
ROS (Robot Operating System, 机器人操作系统)是一个适用于机器人的开源操作系统。它提供了操作系统应有的服务，包括硬件抽象，底层设备控制，常用函数的实现，进程间消息传递，以及包管理。它也提供用于获取、编译、编写、和跨计算机运行代码所需的工具和库函数。在某些方面ROS相当于一种“机器人框架”。",1503,ROS机器人操作系统的安装、配置与初级教程
会员,WebSocket是HTML5一种新的协议，它实现了浏览器与服务器全双工通信，本课程使用了WebSocket来开发网页聊天室，前端框架使用AmazeUI，后台使用Java，编辑器使用UMEditor。课程能够让大家了解如何开发一个简单的网页聊天室。本课程难度偏上，属于中级课程，适合具有Java基础以及网页前端技术知识的用户学习。,1161,Java和WebSocket开发网页聊天室
会员,本课程将使用 C 语言亲手制作基于 GTK + Libvlc 实现的简易视频播放器，支持点击按钮暂定和停止播放视频，同步步显示视频播放进度，全屏播放等功能。本课程适合具有C语言基础，对于 GTK 图形编程方面感兴趣的同学，可以参照本课程入门，看api文档继续提高。,406,GTK开发视频播放器
会员,本课程将通过更加深入的讲解，使用真实的 SFPD 数据集，结合实际问题的分析过程，带你学习 DataFrame 的创建方式、常用操作、UDF 自定义函数 和重分区相关知识。,465,Spark 基础之 DataFrame 高阶应用技巧
free,Hive 是一个基于 Hadoop 文件系统之上的数据仓库架构。它可以将结构化的数据文件映射为一张数据库表，并提供简单的 sql 查询功能。还可以将 sql 语句转换为 MapReduce 任务运行。,2791,HIVE教程
free,本课程的学习目的是让学生熟悉单向哈希函数以及消息认证码（MAC），在完成本课后，学生应当对密码学概念有更深入的理解并且能通过使用工具或者编程为一段指定的信息生成哈希值以及消息认证码。,883,单向哈希函数与MAC实验
free,本课程将通过一个简单的项目实现过程学习Rails框架，熟悉Rails的各种概念。学习本课程需要有一定的Ruby语言基础。难度适中，适合对 Ruby 有所基础的用户学习。从中可以学习到 Rails 开发，巩固 Ruby 基础知识。,1184,Rails基础入门
free,本课程是基于杨铸所著《Linux下C语言应用编程》制作的。主要讲解了 Linux 下的编程体验，并且涉及文件IO以及多进程等等。,5304,Linux系统编程
free,"本期实验意在实现利用 HTML5 的 canvas 技术，结合 HTML5 的 File AP I来实现图片的本地裁剪。通过本实验将学习到如何结合 HTML5 与 JavaScript 编写简单的单页应用。本课程难度一般，适合刚入门前端的同学，需要了解 cavas 并且有 JavaScript 基础。
",4866,基于 HTML5 实现本地图片裁剪
会员,越来越多的网站使用 Markdown 语言作为标准写作语言，本实验就将使用 Laravel 5.1 从头到尾制作一个支持 Markdown 的文章系统。,175,Laravel 5.1 实现 Markdown 编辑器
free,跨站请求伪造(CSRF或XSRF)攻击可用于盗取身份，造成盗号、虚拟货币转让、购买商品等跟人隐私及财产安全的威胁。,965,Collabtive系统跨站请求伪造攻击实验
会员,本课程使用 ThinkPHP 开发一个简易的后台权限管理系统，了解权限的分配与管理，实现用户的权限管理操作。具有一定的通用性。,381,ThinkPHP5 开发后台权限管理系统
会员,新闻摘要提取就是除去新闻中冗余的部分，只保留关键的语句。最近几年关于新闻摘要提取的相关算法发展迅速，本课程将通过两个实验来为大家介绍两个不同的提取摘要算法，并通过python语言完成英文新闻摘要的自动提取。,1773,Python 实现英文新闻摘要自动提取
会员,"Radix树 , 这是一种基于二进制表示的键值的查找树，尤其适合处理非常长的、可变长度的键值，Patricia 的基本思想是构建一个二叉树。",292,C++ 实现基数树 radix tree
free,本课程使用的开发环境为 Python 3.x 、Django 1.8.13。课程中将对 Django 的环境搭建、视图、链接路由、模板、模型、数据库操作以及表单进行简单介绍，并结合简单实验示例加以练习。从中我们将学会如何使用 Django 快速构建和维护一个高质量的 Web 应用程序，并加深对于 Django 的 MVC 设计模式的认识。 ,5152,Django 入门教程
会员,本课程意欲通过三种不同的方式解决‘’哲学家就餐‘’这个经典的问题。在了解一些基本的操作系统的知识之后，通过实验加深对线程，死锁，活锁的认识，并深入理解解决死锁的算法思想。,125,Python 解决哲学家就餐问题
会员,VAR模型是向量自回归模型的简称，是基于数据的统计性质建立的一种常用的计量经济模型，VAR模型把系统中每一个内生变量作为系统中所有内生变量的滞后值的函数来构造模型，从而将单变量自回归模型推广到由多元时间序列变量组成的“向量”自回归模型。本实验运用R语言来建立两变量的向量自回归模型，首先是检验两变量序列的平稳性，然后进行协整检验，确定滞后阶数，再拟合VAR模型，最终对拟合的VAR模型进行模型的预测。通过本实验学会用VAR模型处理多个相关经济指标的分析与预测。,51,R语言建立VAR模型分析联合内生变量的动态关系
会员,Docker 的本质是使用 LXC 实现类似虚拟机的功能，进而节省的硬件资源提供给用户更多的计算资源。本项目将 C++ 与 Linux 的 Namespace 及 Control Group 技术相结合，实现一个简易 Docker 容器。,457,C++ 实现简易 Docker 容器
会员,通过实现一个文件类型统计程序，对Linux的文件系统有一个更加深入的了解，尤其在文件类型的判断，目录的操作上的理解会加深。,344,C语言实现文件类型统计程序
会员,本课程主要学习了如何查找相片中的Exif信息，并通过Exif信息中的GPS数据在百度地图中进行定位标点，以确定相片的拍摄地点！,425,基于PyQt5 实现地图中定位相片拍摄位置
会员,本课程学习 linux 目录与文件属性，使用C语言实现 Linux ls 命令。其中涉及到 ls 的原理，如何获取获取文件的属性，掩码的相关知识。认识linux系统函数opendir()，readdir()等的调用方法。,186,C语言实现Linux ls命令
会员,本课程将通过使用 Node.js 与 socket.io 搭建服务程序，配合 Angular.js 能够动态声明内容，使用 bootstrap 框架的方式完成一个简单的聊天室应用。socket.io 封装了 WebSocket ，良好的兼容性，可以在不同的浏览器和移动设备上构建实时应用，非常方便和人性化。本课程主要学习 socket.io 和 Angular.js。,233,Node.js+Angular.js 实现简易聊天室
会员,React 是一个 Facebook 和 Instagram 用来创建用户界面的 JavaScript 库。创造 React 是为了解决一个问题：构建随着时间数据“不断变化”的“大规模”应用程序。本课程虽然使用了前端框架 antd，从零开始构建一个 React 后台管理界面，并结合 React+React-Router+React-Redux 实现页面功能，加深对 React 全家桶的理解及运用。,201,React 全家桶构建后台管理平台
会员,每到节日，各种的抽奖活动数不胜数，大奖很丰厚，但是，获奖的概率总是很小。我们可以制作一个属于自己的抽奖转盘，探寻抽奖过程的奥秘。 本项目课将会教大家如何使用CSS3来制作抽奖转盘，也会用到 HTML 及 jQuery 的一些基础知识。,258,基于 CCS3 实现抽奖大转盘
free,本课程用C语言做一个简单的计算器，进行加、减、乘、除操作。本程序涉及的所有数学知识都很简单，但输入过程会增加复杂性。都是C语言很基础的东西（输入输出），学了之后能写出一个完整的C语言程序。适合涉及C语言的基本语法，与输入与输出。适合初学者学习。,9211,C语言制作简单计算器
会员,本课程参考 Meteor 官方教程编写，通过 Meteor 和 React 实现一个 Todo 应用，主要学习 Meteor 基础和 React 基础。本课程难度为一般，属于初级级别课程，适合具有 Node.js 基础的用户，学习 Meteor 开发平台。,241,Meteor+React实现Todo应用
会员,通过 C 语言实现Linux who命令 项目的学习，可以掌握 Linux 操作系统为上层提供的访问系统数据文件的接口。更好的理解 Linux 操作系统工作的原理。,136,C 语言实现Linux who命令
free,本课程的学习目的是让学生熟悉加密的基本概念，熟悉和了解加密算法、加密模式、 填充、以及初始向量的定义与作用。,3011,密钥加解密实验
free,PHP是一种被广泛应用的开放源代码的多用途脚本语言，它可嵌入到 HTML中，尤其适合 web 开发。实验课程基于《PHP 参考手册》中文版本制作。,10789,PHP 编程语言
free,本课程将学习包括 java.lang 包，java.util 包，java.io 包以及泛型的相关知识,6550,JDK 核心 API
free,本实验将介绍 Java 语言基本语法、Java 平台应用、 Java 的核心概念：JVM、JDK、JRE以及 java 面向对象思想。同时我们会学到如何在系统中搭建 Java 开发环境，以及如何利用第三方工具进行 Java 程序的开发。,26930,Java编程语言（新版）
会员,使用python打造自己的漏洞扫描器，拥有插件系统，可以自定义，实现扫描器基础功能。会实现网站爬虫，基于爬虫的插件，CMS识别，目标端口扫描，系统指纹分析，目录敏感文件爆破，最后会以web接口方式操作，展现扫描的成果。,935,Python打造漏洞扫描器
free,Set-UID 是一个重要的安全机制，但是如果一个程序的拥有者是root，那么任何人运行这个程序时都会获得root权限，这是很多坏事情的罪魁祸首。,1804,SET-UID程序漏洞实验
会员,裁剪图片时，需要尽可能保留下图片中最关键或最重要的信息。在本课程里我们将学习如何使用 Python3 智能的裁切图片。,686,Python3 智能裁切图片
free,"Vuejs2.0 使用教程,在本实验中你可以学到数据双向绑定，介绍vuejs的部分指令等等。适合有一些html和js经验的伙伴。",1874,Vuejs2.0 使用教程
会员,本系列课程通过使用C++语言实现智能指针的过程，来了解C++基本程序设计的方法，包括类的定义与使用，运算符的重载，模板类的使用方法，以及引用计数技术。,787,C++实现智能指针
会员,万事开头难，在机器学习里在真正开始训练跑算法之前，都需要进行数据预处理，我们需要人工的或“启发式”地去处理数据，提取特征，数据预处理的效果对后续训练过程很关键。这门课程将介绍一种基于无监督学习神经网络数据降维的一种应用——自联想存储器。,1011,基于无监督学习的自编码器实现
会员,OpenStack是一个云操作系统，通过数据中心可控制大型的计算、存储、网络等资源池。所有的管理通过前端界面管理员就可以完成，同样也可以通过web接口让最终用户部署资源。,63,OpenStack Ocata版本单节点搭建
会员,服务器开发中 Web 服务是一个基本的代码单元，将服务端的请求和响应部分的逻辑抽象出来形成框架，能够做到最高级别的框架级代码复用。本次项目将综合使用 C++11 及 Boost 中的 Asio 实现 HTTP 和 HTTPS 的服务器框架。,3037,C++ 开发 Web 服务框架
会员,通过使用Python实现一个FTP弱口令扫描器开始，入门Python渗透测试技术，实验涉及FTP协议原理，ftplib 库的使用等知识点。本项目较为简单，适合初级人群。学习该项目的同学应该有一些计算机网络有基础。,785,Python 实现 FTP 弱口令扫描器
free,本课程使用Python脚本爬取某租房网站的房源信息，利用高德的 js API 在地图上标出房源地点，划出距离工作地点1小时内可到达的范围。在项目实现的过程中熟悉了requests、BeautifulSoup、csv等库的简单使用。,11367,高德API+Python解决租房问题
会员,本课程使用 Node.js+Redis 实现一个简单的漂流瓶应用，主要学习 Node.js 和 Redis 的使用和结合。项目中，我们使用redis 这个 npm 包来操作 Redis 数据库。同时使用 Express 提供 Web 服务。,184,Node.js+Redis实现漂流瓶
free,本课程主要向用户介绍会话管理中cookie和session的相关基础知识，并简述它们实际的应用场景。并详细讲解PHP是如何对cookie 和session进行增删查改的操作。两个实验均配有实战项目，让用户能将学到的知识快速应用到实际的项目中。,1833,PHP会话控制
会员,本课程通过 Node.js 实现一个简单的爬虫，爬取豆瓣热门电影。主要会用到的模块（包）有：http，fs，path，cheerio。http 模块用于创建 http 请求，fs 模块用于保存文件，path 模块用于解析路径，cheerio 包是服务器端的 jQuery 实现，这里用于解析 HTML。,286,Node.js实现简单爬虫
会员,本节课主要介绍了 Hadoop 开发环境搭建，并基于YouTube 数据集根据任务需求编写 MR 程序，然后讲解演示了直接运行与打 jar 运行的区别等，希望学完本节课，能帮助您理解并学会搭建 Hadoop 开发环境并编写 MR ，很快上手。,181,MapReduce 分析 Youtube 数据
会员,本课程基于 HTML+CSS+JS+jQuery 实验网页版 2048，你能学到 Web 应用程序的开发流程，从布局，初始化到编写游戏逻辑，以及如何让应用在移动端自适应以应对各种大小的屏幕。,948,网页版2048
free,本课程完成一个使用 Python 来解析纯文本生成 HTML 页面的小程序。从中我们将使用Python基础语法知识以及HTML标记语言知识，以及如何用 Python 将纯文本分成一个一个的文本块，并对它对解析。文本中使用部分简单的 Markdown 语法。通过学习加深巩固Python、HTML的基础知识。,3900,Python文本解析器
会员,通过C语言实现LSB信息隐藏算法来演示并讲解图像信息隐藏技术的基础与原理，带领初学者了解信息隐藏技术领域。,397,BMP图像信息隐藏
会员,本课程主要介绍如何配合 Node.js 服务程序实现文件上传。课程将会从基础的 Node.js 实现开始介绍其中的原理及重点，然后通过使用应用框架及第三方模块简化代码，简单实现文件上传功能。最后对文件上传功能进行一些扩展。,186,Node.js上传文件实例
会员,使用 Python 3 来编写一系列的实用脚本，实验的过程中能熟悉 Python 3 的使用，学习使用各种功能强大的模块。,2815,使用 Python 3 编写系列实用脚本
free,本课程介绍了正则表达式基本概念，并在Linux Shell环境中实践如何使用正则表达式对文本字符串进行处理。难度一般，适合具有 Linux 基础的同学学习。,7015,正则表达式基础
free,本课程利用 HTML 和 CSS 来打造 《超能陆战队》里的“暖男”—大白。通过本实验可学习如何用 HTML 结合 CSS 来设计高端大气上档次的图，并了解 HTML 布局，CSS 构建对象样式。,4837,纯 CSS 打造网页版「大白」
会员,SSH（Spring + Struts + Hibernate）集成框架是应用十分广泛的一种 Java Web 应用程序开发框架。本次项目课的场景，假设为一个简单的用户管理网站，在数据库中存在的每一个用户都可以登录网站，然后可以在网站上面进行用户管理（增删改查）。通过实例让同学们感受 SSH 框架的强大之处，也会对之前学习的各种框架的应用和理解更加清晰、透彻。本课程难度偏上，属于中高级课程，适合具有Java Web 和框架知识的同学学习，帮助他们更加清晰、透彻地理解和应用框架。,1646,SSH 框架应用实例
free,本课程将利用NBA在2015~2016年的比赛统计数据进行回归模型建立，最终在今年2016~2017的常规赛中预测每场比赛的输赢情况。,4565,NBA常规赛结果预测——利用Python进行比赛数据分析
free,本实验课程是通过在一个小Linux（Linux 0.11）上针对操作系统的各个模块开展的深入实践，同时本课程也是为网易云课堂李治军老师《操作系统之基础》、《操作系统之进程与线程》等四门课程的配套实验课。,10685,操作系统原理与实践
会员,"本课程操作 redis 实现异步订阅和发布，其中将介绍 redis 基础知识，在linux中安装和使用 redis ，常用的 hiredis API，并实现一个例程。
 ",248,C++操作 redis 实现异步订阅和发布
会员,"现在的日常生活已经离不开微信，本文将会抛砖引玉演示如何使用Python调用微信API做一些有意思的东西。
本课程通过聊天机器人为例，介绍如何使用Python完成微信的点对点信息交互。
本课程教学视频及拓展内容地址：https://www.bilibili.com/video/av12860627/",2210,利用微信API将你的微信变为聊天机器人
会员,本课程主要内容是讲解PHP中无限极分类的相关内容，无限极分类技术在开发中经常会遇到，例如网上商城的商品分类，企业网站的部门结构，博客网站的文章分类等等。课程中通过一个简单的小项目，实践无限极分类技术，并介绍了递归算法的使用。,271,PHP实例--理解无限级分类
会员,"TensorFlow 是 Google 开发的一款神经网络的 Python 外部的结构包，也是一个采用数据流图来进行数值计算的开源软件库。TensorFlow 让我们可以先绘制计算结构图, 也可以称是一系列可人机交互的计算操作, 然后把编辑好的Python文件转换成更高效的 C++， 并在后端进行计算。",490,基于TensorFlow实现卷积神经网络
训练营,使用Python Flask Web开发框架实现类似StackOverflow的在线问答平台LouQA，具备提问，回答，评论等功能。学习数据库设计，Python Web 开发及 bootstrap 相关知识。,164,仿 StackOverflow 开发在线问答系统
会员,通过完成一个C语言实现Linux touch命令项目，学习基于LINUX环境的系统编程技术，尤其 Linux 文件 IO 操作相关技术。,467,C语言实现Linux touch命令 
free,模版引擎使得用户界面能够与业务数据分离，前端与后端分离，它通常用于渲染页面文件。本课程将使用Python实现一个具备基础功能的模板引擎。,420,Python实现模板引擎
会员,本实验课程适合将要学习Android开发的同学，在这里，你可以学到如何在Android Studio中创建项目，并启动Android应用的运行环境。,1999,Android Studio项目创建和模拟器配置
free,看图片闯关，学程序，游戏人生！updating......,2533,每天一个PythonChallenge《任务三》
会员,我们将在本实验继续学习Android提供的轻量化存储方案Shared Preference，你将在本实验中学习到如何创建SharedPreferences对象并通过编辑器来写入和读取数据。,48,Android小案例 - 轻量化存储（Shared Preference）
会员,本次实验将指导如何使用Python开发具有记录键盘输入、屏幕截图、网络传输等功能的黑客木马程序，详细讲解了相关的linux设备文件的原理，缓冲区处理，多进程和网络编程等相关知识。,1121,Python开发木马程序
会员,本课程分为两个实验。实验一用C语言实现一个简易的WEB服务器。实验二加入了能支持动态解析PHP程序的功能。主要涉及到的技术有：Linux Socket编程，HTTP协议（只实现GET请求），Fast-CGI协议。本课程适合有C语言基础的同学学习，讲解了最基本的web服务器工作流程，学习后熟悉建立套接字等操作流程。深入解释接口协议，让同学明白一个web服务器是怎么解析动态语言的。,1387,C语言实现一个支持PHP的简易WEB服务器
会员,本课程是 Hadoop 的一个非常基础的应用项目，利用实验楼提供的 Hadoop 环境，对一本武侠小说的文集进行简单的 WordCount 词频统计，从而得到该书中出现频次最高的人名。需要一定的 Hadoop 和 MapReduce 基础。本课程难度为简单，属于入门级别课程，适合对 Hadoop 刚刚入门的用户，甚至没有接触过 Hadoop 的用户也可以按照步骤一步步做出来。,949,基于 Hadoop 对武侠小说进行词频分析
训练营,"在线完成5个经典C语言项目，高强度项目训练学习C语言开发。知识涵盖C语言基础，Linux系统开发，Socket开发等知识。课程随到随学，遇到技术问题在讨论区发帖提问，有工程师回复解答。
",179,C 语言经典项目实战
free,"目前 MongoDB 是 IT 行业非常流行的一种非关系型数据库(NoSQL),其灵活的数据存储方式备受当前 IT 从业人员的青睐。本课程是 MongoDB 基础教程，介绍了 MongoDB 基本的集合操作、高级查询以及索引与聚合。",8498,MongoDB 基础教程
会员,本次课程是基于 Flask Web 框架开发的娱乐级别的微信公众号后台，学习并实践 python 编程，Flask Web 开发以及微信公众平台开发机器人的基本步骤。提供基础答疑QQ群：431371470,1604,基于 Flask 及爬虫实现微信娱乐机器人
free,Return-to-libc攻击是一种特殊的缓冲区溢出攻击，通常用于攻击有“栈不可执行”保护措施的目标系统。本课程我们将用system()地址替换返回地址，用它调用一个root shell。,761,Return-to-libc攻击实验
free,本课程将会提供一个具有格式化漏洞的程序，我们将制定一个计划来探索这些漏洞以达到任意读写内存的目的。课程难度适中，同学们需具有一定Linux 基础。,1376,格式化字符串漏洞实验
会员,本课程实现一个校花评比项目，在项目中使用到了埃洛等级分系统算法。用户在前端页面每次点击随机排列的两张美女图片，选出颜值较高者，共十次选择，最后由后台计算出各个图片的颜值，得出评比结果。课程使用了 PHP 实现评比算法，cookie 记录用户点击次数，jQuery 的简单使用。,1934,校花评比排名项目-PHP
free,利用web应用程序和数据库服务器之间的接口，把SQL命令插入到Web表单递交或输入域名或页面请求的查询字符串，欺骗服务器执行恶意的SQL命令。,1810,Collabtive系统SQL注入实验
会员,"递归（英语：Recursion），又译为递回，在数学与计算机科学中，是指在函数的定义中使用函数自身的方法。递归一词还较常用于描述以自相似方法重复事物的过程。本课程通过3个C语言编程实例，让你在利用递归解决实际问题的过程中学习递归并掌握其核心思想。举一反三，懂得如何使用递归解决其他实际问题。
",2282,3个C语言实例带你掌握递归方法论
会员,本项目通过使用 Laravel5.1 和 AmazeUI 实现一个多用户博客系统，一步步实现各个功能模块，学习 PHP 的项目开发及 Laravel 框架的使用。本项目需要了解 PHP 基础知识。本课程难度适中，适合对PHP后台开发感兴趣以及想入门 laravel 的同学。,2329,Laravel大型项目系列教程
会员,RTTI 是运行时类型信息的英文缩写，C++ 本身提供了运行时类型检查的运算符 dynamic_cast 和 typeid，然而 dynamic_cast 的效率其实并不理想，需要牺牲一定性能。本项目将手动实现一个高性能 RTTI 库。,288,C++ 实现高性能 RTTI 库
会员,本实验通过使用 LVS 与 keepalived 搭建一个高可用的负载均衡服务器群，在试验中学习 vrrp、LVS 的基本原理并实践了 LVS 与 keepalived,554,LVS 集群负载均衡实战
会员,留言板是评论系统是网站中很常用的功能，本课程将从项目的整体设计开始，使用 Laravel 5.1 一步一步的搭建一个简易的留言板。,176,Laravel 5.1制作简易留言板/评论系统
会员,申请微信公众号，了解微信公众号的开发流程，以及微信公众号各类信息，如图文消息，文字消息，图片消息等诸多 API 机制，以及 Python 对邮件的操作，实现基于微信公众号邮件信息推送功能。,337,基于微信公众号实现邮件信息推送
会员,本课程介绍Robot Framework基础使用方法，以实战方式让同学理解何谓自动化测试(Test Automation)以及 ATDD(Acceptance Test-Driven Development)，一方面利用原生丰富的库理解Robot Framework的弹性及强大，进而开发自定义关键字扩充特殊应用逻辑测试。以期在课程结束后同学可以立马开始使用Robot Framework自动测试自己的Restful API、网页、甚至苹果或安卓手机应用。,146,Robot Framework自动化测试基础实战课程
会员,Matplotlib 是支援 Python 语言的开源绘图库，因为其支持丰富的绘图类型、简单的绘图方式以及完善的接口文档，深受 Python 工程师、科研学者、数据工程师等各类人士的喜欢。这门课程首先将带领你走进 Matplotlib，并学会使用它绘制各类 2D 或 3D 图。另外，课程还会对 Matplotlib 高级 API 库 Seaborn 的使用进行介绍。,233,Matplotlib 及 Seaborn 使用教程
会员,内存泄漏一直是 C++ 中比较令人头大的问题， 即便是很有经验的 C++程序员有时候也难免因为疏忽而写出导致内存泄漏的代码。除了基本的申请过的内存未释放外，还存在诸如异常分支导致的内存泄漏等等。本项目将使用 C++ 实现一个内存泄漏检查器。,515,C++ 实现内存泄露检查器
会员,本次课程主要学习如何用 Electron 配合 JavaScript 等 web 技术创建跨 Linux/Windows/macOS 平台的桌面应用，学习了基本桌面应用的编写方法,464,使用 Electron 编写跨平台桌面应用
会员,为了追求性能，在服务器开发中我们经常要面临大量线程任务之间的调度和管理，本次实验我们将使用 C++ 及大量 C++11新特性设计并实现一个线程池库。,781,100 行 C++ 代码实现线程池
free,看图片闯关，学程序，游戏人生！updating......,1810,每天一个PythonChallenge《任务二》
free,本课程的目的是带领大家使用 Node.js 的一些常用服务模块来创建一个属于自己的简单服务器，加深对 Node.js 的理解。其中将涉及到搭建服务器的知识，如何解决 Node.js 的阻塞操作，怎样处理表单输入。本课程难度一般，属于初级课程，适合具有 Node.js 基础的用户，熟悉 Node.js Web 开发。,1380,轻松创建 Node.js 服务器
会员,本实验将教大家使用 Node.js 技术完成一个私人笔记本项目，每个注册用户可在自己的私密空间中书写自己的心情和感悟。通过 Express 学习 Node.js Web 开发基础。本课程难度一般，属于初级课程，适合具有 Node.js 基础的用户，学习 Node.js Web 开发。,262,Node.js实现私人笔记
会员,本课程基于 jQuery 实现近几年很流行的瀑布流图片无限加载，另外我们会学到如何模拟后台提供 JSON 格式数据。本课程较为简单，适合刚入门前端的同学作为练手项目。,330,瀑布流加载图片墙
会员,本课程主要内容是使用PHP实现一个在线聊天室。其中涉及到的知识点包括常用通讯协议的讲解，websocket 通信的原理以使用场景。项目基于一套开源的PHP websocket框架：GatewayWorker开发而成，主要逻辑代码由后台PHP+前台JS构建，课程重点在于讲解websocket通信处理。整个项目具有一定的难度，也比较有实用性，能从中学到许多新的知识。,427,PHP 开发在线聊天室
会员,"通过完成C 语言实现Linux cp 命令项目的学习，可以掌握Linux操作系统中的文件IO相关的系统函数和目录相关操作的系统函数，比如open, write, opendir, readir。深入了解Linux环境系统编程。",188,C 语言实现Linux cp 命令  
